OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FID,Id,X,Y
1281,-1,59,0.066565087820974,1,59,0,-96.562500000000000,30.437500000000000
1282,-1,60,0.063151111555961,1,60,0,-96.437500000000000,30.437500000000000
1283,-1,41,0.044913453612906,1,41,0,-96.812500000000000,30.312500000000000
1284,-1,41,0.038758088388077,1,41,0,-96.812500000000000,30.312500000000000
1285,-1,41,0.051981943733739,1,41,0,-96.812500000000000,30.312500000000000
1286,-1,25,0.018841911035870,1,25,0,-96.812500000000000,30.187500000000000
1287,-1,41,0.025605724762431,1,41,0,-96.812500000000000,30.312500000000000
1288,-1,41,0.014461359840710,1,41,0,-96.812500000000000,30.312500000000000
1289,-1,58,0.027117730056521,1,58,0,-96.687500000000000,30.437500000000000
1290,-1,42,0.076737704862152,1,42,0,-96.687500000000000,30.312500000000000
1291,-1,40,0.047182419221051,1,40,0,-96.937500000000000,30.312500000000000
1292,-1,40,0.035362686140407,1,40,0,-96.937500000000000,30.312500000000000
1293,-1,25,0.062219986833813,1,25,0,-96.812500000000000,30.187500000000000
1294,-1,24,0.064320734012407,1,24,0,-96.937500000000000,30.187500000000000
1295,-1,53,0.044280756664674,1,53,0,-97.312500000000000,30.437500000000000
1296,-1,53,0.027724698079805,1,53,0,-97.312500000000000,30.437500000000000
1297,-1,71,0.052899625272840,1,71,0,-97.062500000000000,30.562500000000000
1298,-1,88,0.053326859216413,1,88,0,-96.937500000000000,30.687500000000000
1299,-1,42,0.070156855750990,1,42,0,-96.687500000000000,30.312500000000000
1300,-1,42,0.069909395699404,1,42,0,-96.687500000000000,30.312500000000000
1301,-1,44,0.036898295222414,1,44,0,-96.437500000000000,30.312500000000000
1302,-1,44,0.029543417965041,1,44,0,-96.437500000000000,30.312500000000000
1303,-1,58,0.056561632234120,1,58,0,-96.687500000000000,30.437500000000000
1304,-1,43,0.019267255666664,1,43,0,-96.562500000000000,30.312500000000000
1305,-1,59,0.023811193302215,1,59,0,-96.562500000000000,30.437500000000000
1306,-1,43,0.009556662332812,1,43,0,-96.562500000000000,30.312500000000000
1307,-1,40,0.050431981332549,1,40,0,-96.937500000000000,30.312500000000000
1308,-1,25,0.051340468609496,1,25,0,-96.812500000000000,30.187500000000000
1309,-1,40,0.045890146353248,1,40,0,-96.937500000000000,30.312500000000000
1310,-1,41,0.065537909178590,1,41,0,-96.812500000000000,30.312500000000000
1311,-1,40,0.027032871595402,1,40,0,-96.937500000000000,30.312500000000000
1312,-1,40,0.014842874294252,1,40,0,-96.937500000000000,30.312500000000000
1313,-1,39,0.043459598976476,1,39,0,-97.062500000000000,30.312500000000000
1314,-1,39,0.032563017443403,1,39,0,-97.062500000000000,30.312500000000000
1315,-1,60,0.058073250465074,1,60,0,-96.437500000000000,30.437500000000000
1316,-1,60,0.051068527765467,1,60,0,-96.437500000000000,30.437500000000000
1317,-1,40,0.053337968971106,1,40,0,-96.937500000000000,30.312500000000000
1318,-1,56,0.022467333009259,1,56,0,-96.937500000000000,30.437500000000000
1319,-1,57,0.074524449796173,1,57,0,-96.812500000000000,30.437500000000000
1320,-1,57,0.066760253619250,1,57,0,-96.812500000000000,30.437500000000000
1321,-1,57,0.044390474380659,1,57,0,-96.812500000000000,30.437500000000000
1322,-1,57,0.037079812696495,1,57,0,-96.812500000000000,30.437500000000000
1323,-1,23,0.072018002839395,1,23,0,-97.062500000000000,30.187500000000000
1324,-1,22,0.048881947315994,1,22,0,-97.187500000000000,30.187500000000000
1325,-1,53,0.037145993515416,1,53,0,-97.312500000000000,30.437500000000000
1326,-1,53,0.032222513444148,1,53,0,-97.312500000000000,30.437500000000000
1327,-1,72,0.041351037028362,1,72,0,-96.937500000000000,30.562500000000000
1328,-1,56,0.054577964109258,1,56,0,-96.937500000000000,30.437500000000000
1329,-1,41,0.053294874284026,1,41,0,-96.812500000000000,30.312500000000000
1330,-1,41,0.055304910321778,1,41,0,-96.812500000000000,30.312500000000000
1331,-1,41,0.047509664315395,1,41,0,-96.812500000000000,30.312500000000000
1332,-1,41,0.043865913335019,1,41,0,-96.812500000000000,30.312500000000000
1333,-1,58,0.032773780020447,1,58,0,-96.687500000000000,30.437500000000000
1334,-1,42,0.055951500484234,1,42,0,-96.687500000000000,30.312500000000000
1335,-1,42,0.080457837002902,1,42,0,-96.687500000000000,30.312500000000000
1336,-1,57,0.065513377471237,1,57,0,-96.812500000000000,30.437500000000000
1337,-1,41,0.053912293877880,1,41,0,-96.812500000000000,30.312500000000000
1338,-1,41,0.049966330748405,1,41,0,-96.812500000000000,30.312500000000000
1339,-1,41,0.037175936662985,1,41,0,-96.812500000000000,30.312500000000000
1340,-1,41,0.033502104555600,1,41,0,-96.812500000000000,30.312500000000000
1341,-1,57,0.058089361008943,1,57,0,-96.812500000000000,30.437500000000000
1342,-1,57,0.060430184608582,1,57,0,-96.812500000000000,30.437500000000000
